N;alpha;beta;eps;expon_alpha;consensus_x;consensus_y;consensus_probabity;simulation_time;type;simulation_count
50.0;;;0.4;0.5;176.40393952577725;195.83814506384948;392.0;2100.0;ONE_EXPON;400.0
50.0;;;0.4;1.0;154.19938694457574;189.24764336140785;383.0;2050.0;ONE_EXPON;400.0
50.0;;;0.4;1.5;138.5641763313117;190.66678400095344;381.0;2007.0;ONE_EXPON;400.0
50.0;;;0.4;2.0;117.0582012116076;181.29323799892595;362.0;1895.0;ONE_EXPON;400.0
50.0;;;0.4;2.5;98.3835281698438;171.85526256053015;344.0;1795.0;ONE_EXPON;400.0
50.0;;;0.4;3.0;81.59701054376788;158.1933402127422;318.0;1627.0;ONE_EXPON;400.0
50.0;;;0.4;3.5;72.19138374006894;153.7819191415717;308.0;1562.0;ONE_EXPON;400.0
50.0;;;0.4;4.0;64.156901290993;151.72180739577084;304.0;1481.0;ONE_EXPON;400.0
50.0;;;0.4;4.5;53.47639889599768;138.83114691200467;279.0;1344.0;ONE_EXPON;400.0
50.0;;;0.4;5.0;51.42594547572931;146.48117193043996;290.0;1342.0;ONE_EXPON;400.0
50.0;;;0.45;0.5;180.87149051389773;200.3091765842329;399.0;1744.0;ONE_EXPON;400.0
50.0;;;0.45;1.0;162.4898347841951;198.8268150037953;399.0;1751.0;ONE_EXPON;400.0
50.0;;;0.45;1.5;142.93264603245763;197.8184579230376;396.0;1758.0;ONE_EXPON;400.0
50.0;;;0.45;2.0;126.25462647634644;196.34837016816803;392.0;1728.0;ONE_EXPON;400.0
50.0;;;0.45;2.5;109.04747103617024;191.36691588578668;382.0;1713.0;ONE_EXPON;400.0
50.0;;;0.45;3.0;95.67945422048324;184.97338608353385;369.0;1640.0;ONE_EXPON;400.0
50.0;;;0.45;3.5;86.29876039727948;184.99630656609256;369.0;1635.0;ONE_EXPON;400.0
50.0;;;0.45;4.0;79.8446046557864;186.2118108630692;373.0;1613.0;ONE_EXPON;400.0
50.0;;;0.45;4.5;69.28925103001522;178.2323157860978;358.0;1544.0;ONE_EXPON;400.0
50.0;;;0.45;5.0;61.12221230985112;172.06378184073876;345.0;1456.0;ONE_EXPON;400.0
50.0;;;0.5;0.5;182.57123630527843;199.71707378584168;400.0;1604.0;ONE_EXPON;400.0
50.0;;;0.5;1.0;163.41326368783476;200.60213626016565;400.0;1611.0;ONE_EXPON;400.0
50.0;;;0.5;1.5;145.11791969901958;200.57704514265544;400.0;1610.0;ONE_EXPON;400.0
50.0;;;0.5;2.0;130.3000120929428;199.9557947723668;400.0;1616.0;ONE_EXPON;400.0
50.0;;;0.5;2.5;117.00478655693568;198.64068499291704;397.0;1606.0;ONE_EXPON;400.0
50.0;;;0.5;3.0;102.6320713695348;195.374057305277;393.0;1596.0;ONE_EXPON;400.0
