N;confidence;eps1;eps2;consensus_x;consensus_y;consensus_probabity;simulation_time;cluster_data;simulation_count
50.0;rectangle;0.55;0.95;450.2555600139581;451.3112343249455;900.0;2713.0;;900.0
50.0;rectangle;0.55;1.0;450.47637177285895;448.8712281828806;900.0;2708.0;;900.0
50.0;rectangle;0.6;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.6;0.2;36.1787427447094;36.07380136252067;72.0;736.0;;900.0
50.0;rectangle;0.6;0.25;216.93569118052662;215.48925745699748;432.0;3477.0;;900.0
50.0;rectangle;0.6;0.3;406.05555084946485;404.4775581008522;812.0;5025.0;;900.0
50.0;rectangle;0.6;0.35;446.77122369729824;446.2373015374603;891.0;4234.0;;900.0
50.0;rectangle;0.6;0.4;450.4966255280534;450.3440572331972;900.0;3678.0;;900.0
50.0;rectangle;0.6;0.45;449.3577952162672;451.1123024238287;900.0;3575.0;;900.0
50.0;rectangle;0.6;0.5;447.8450350361667;448.85863070165016;900.0;3120.0;;900.0
50.0;rectangle;0.6;0.55;448.9103196721611;446.5154962927419;900.0;2753.0;;900.0
50.0;rectangle;0.6;0.6;450.1628582162698;448.7919526024898;900.0;2705.0;;900.0
50.0;rectangle;0.6;0.65;450.2064157258653;448.7296224019575;900.0;2700.0;;900.0
50.0;rectangle;0.6;0.7;449.8780593786818;448.89065195832853;900.0;2700.0;;900.0
50.0;rectangle;0.6;0.75;448.88783048840594;450.73398399575274;900.0;2701.0;;900.0
50.0;rectangle;0.6;0.8;450.080610428679;450.0509607088325;900.0;2700.0;;900.0
50.0;rectangle;0.6;0.85;449.58664071678567;448.9083505265764;900.0;2700.0;;900.0
50.0;rectangle;0.6;0.9;451.63658448377214;450.0397460956537;900.0;2700.0;;900.0
50.0;rectangle;0.6;0.95;450.83032139439666;446.8743605730063;900.0;2700.0;;900.0
50.0;rectangle;0.6;1.0;449.44789151775785;449.5969027385846;900.0;2700.0;;900.0
50.0;rectangle;0.65;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.65;0.2;27.90126215644737;28.340941250354486;57.0;554.0;;900.0
50.0;rectangle;0.65;0.25;206.4276251978032;205.54385610326287;412.0;3393.0;;900.0
50.0;rectangle;0.65;0.3;403.4464799382963;404.0003796752999;807.0;5029.0;;900.0
50.0;rectangle;0.65;0.35;447.196210529208;446.96356036688036;895.0;4252.0;;900.0
50.0;rectangle;0.65;0.4;449.38998980542584;447.70003137077856;899.0;3671.0;;900.0
50.0;rectangle;0.65;0.45;450.92629034416575;452.0799532675901;900.0;3571.0;;900.0
50.0;rectangle;0.65;0.5;450.83334308049933;449.91203866525547;900.0;3091.0;;900.0
50.0;rectangle;0.65;0.55;449.7864616305364;448.7334994130459;900.0;2741.0;;900.0
50.0;rectangle;0.65;0.6;449.5104953398487;449.3712309805653;900.0;2701.0;;900.0
50.0;rectangle;0.65;0.65;452.4499572052905;447.88991074364793;900.0;2700.0;;900.0
50.0;rectangle;0.65;0.7;446.82937885517293;449.8810898184976;900.0;2700.0;;900.0
50.0;rectangle;0.65;0.75;450.37193539510093;449.3197403028823;900.0;2700.0;;900.0
50.0;rectangle;0.65;0.8;449.8444830047685;449.98435324788306;900.0;2700.0;;900.0
50.0;rectangle;0.65;0.85;448.7901955089032;451.1263546515777;900.0;2700.0;;900.0
50.0;rectangle;0.65;0.9;449.9062403224536;449.78026144165335;900.0;2700.0;;900.0
50.0;rectangle;0.65;0.95;447.77947334213485;449.9047441854398;900.0;2700.0;;900.0
50.0;rectangle;0.65;1.0;448.63465786642905;449.9467842629344;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.7;0.2;33.03523150400915;33.291118531754776;67.0;673.0;;900.0
50.0;rectangle;0.7;0.25;208.68199727514698;208.6826751357935;417.0;3369.0;;900.0
50.0;rectangle;0.7;0.3;394.5192373040755;393.81737542163756;788.0;4876.0;;900.0
50.0;rectangle;0.7;0.35;447.2635317188968;446.83443887343435;894.0;4184.0;;900.0
50.0;rectangle;0.7;0.4;449.28273967836657;450.82605397188;900.0;3687.0;;900.0
50.0;rectangle;0.7;0.45;449.4289689109141;451.20084245647496;900.0;3578.0;;900.0
50.0;rectangle;0.7;0.5;450.0802628673374;450.2783597995005;900.0;3093.0;;900.0
50.0;rectangle;0.7;0.55;448.2015713968309;450.19667628624404;900.0;2730.0;;900.0
50.0;rectangle;0.7;0.6;449.1581001183333;450.9843572932805;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.65;449.485968037343;451.7730493243465;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.7;451.60626121803494;451.4199668168419;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.75;448.9034814207279;450.4454333725669;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.8;450.18389241926707;450.0000099673628;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.85;449.5679288569028;448.9597916144566;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.9;450.696583624636;450.48224014899944;900.0;2700.0;;900.0
50.0;rectangle;0.7;0.95;447.9298886615602;449.76809343170254;900.0;2700.0;;900.0
50.0;rectangle;0.7;1.0;450.6881029204575;450.6237545917152;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.75;0.2;25.682926552786803;25.16668501467856;51.0;489.0;;900.0
50.0;rectangle;0.75;0.25;192.2404621792805;191.42556549588366;384.0;3182.0;;900.0
50.0;rectangle;0.75;0.3;391.94635392514465;394.69194281550057;785.0;4853.0;;900.0
50.0;rectangle;0.75;0.35;447.0179558407026;449.36778674464813;895.0;4270.0;;900.0
50.0;rectangle;0.75;0.4;450.30607299956444;449.93494327613814;900.0;3670.0;;900.0
50.0;rectangle;0.75;0.45;449.245761965205;450.87280806605;900.0;3564.0;;900.0
50.0;rectangle;0.75;0.5;447.77063088715414;451.1260986800697;900.0;3063.0;;900.0
50.0;rectangle;0.75;0.55;448.94542588570386;447.9081126426367;900.0;2716.0;;900.0
50.0;rectangle;0.75;0.6;451.419346406002;449.44594410876914;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.65;452.4661488862261;453.03690769259885;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.7;448.6616248675141;449.5656413965848;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.75;448.584195521168;449.06846376313234;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.8;449.30221055449385;448.5318044749829;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.85;449.8914749228487;450.02777983078323;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.9;447.1355986784653;449.7047567918452;900.0;2700.0;;900.0
50.0;rectangle;0.75;0.95;451.64986908534814;450.19805339354633;900.0;2700.0;;900.0
50.0;rectangle;0.75;1.0;449.6055304016054;450.3606687591295;900.0;2700.0;;900.0
50.0;rectangle;0.8;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.8;0.2;26.614040793402882;27.119237567307966;54.0;524.0;;900.0
50.0;rectangle;0.8;0.25;212.63656216979996;213.63285294375942;426.0;3452.0;;900.0
50.0;rectangle;0.8;0.3;400.67536113855823;398.1902151139509;800.0;4962.0;;900.0
50.0;rectangle;0.8;0.35;449.09523839977317;449.81622390252846;897.0;4234.0;;900.0
